Process A,Process B,Annotation
run_star_pe,generate_genome_star_index,D
run_star_pe,run_star_se,SS
run_star_pe,pass1,SS
run_star_pe,star_genome,SS
run_star_pe,tastq_to_bam_hisat,SS
run_star_pe,samtools_bam,SS
run_star_pe,hisat2,SS
run_star_pe,sort_bams,SS
run_star_pe,compare_reference_stringtie,SS
run_star_pe,map,SS
run_star_pe,bamindex,SS
run_star_pe,startpe,S
run_star_pe,expressbam,D
run_star_pe,sortedbam_to_rmdup,D
run_star_pe,sortbam,D
run_star_pe,fetch_unique_stringtie,D
run_star_pe,starindex,SS
run_star_pe,starse,SS
run_star_pe,sort_index_bams,D
run_star_pe,rna_seqc,D
run_star_pe,pass2,S
run_star_pe,mark_dups,D
run_star_pe,samtools_flagstat,D
run_star_pe,picard_rna_seq,D
run_star_pe,samplereads,D
run_star_pe,cutadapt 2,D
run_star_pe,trim_galore_pe,D
run_star_pe,trimgalorepe,D
run_star_pe,cutadapt,D
run_star_pe,trimgalorese,D
run_star_pe,fastp_trimming_se,D
run_star_pe,fastp_trimming_pe,D
run_star_pe,merge_trimmed_pe,D
run_star_pe,merge_trimmed_se,D
run_star_pe,drimseq,D
run_star_pe,edger,D
run_star_pe,rsem_norm,D
run_star_pe,feature_counts,D
run_star_pe,salmon_quant_se,D
run_star_pe,salmonse,D
run_star_pe,salmon_quant_pe,D
run_star_pe,salmonpe,D
run_star_pe,salmon_index_extended,D
run_star_pe,counts_matrix,D
run_star_pe,samlon_quant,D
run_star_pe,featurecounts 2,D
run_star_pe,salmon_quant,D
run_star_pe,salmon_index,D
run_star_pe,featurecounts,D
run_star_pe,sortedbam_to_counts,D
run_star_pe,tximeta,D
run_star_pe,kallistoquant,D
run_star_pe,bigwig,D
run_star_pe,fastqscreen,D
run_star_pe,multiqc 2,D
run_star_pe,fastqc 5,D
run_star_pe,fastqc 4,D
run_star_pe,multiqc 3,D
run_star_pe,fastqc,D
run_star_pe,run_multiqc,D
run_star_pe,multiqc,D
run_star_pe,fastqctrimmed,D
run_star_pe,fastqc_trimmed,D
run_star_pe,trim_fasq_fastqc,D
run_star_pe,fastqc 3,D
run_star_pe,fastqctrimmed 2,D
run_star_pe,fastqc 2,D
run_star_pe,fastqcrim,D
run_star_pe,fastqc 6,D
generate_genome_star_index,run_star_se,D
generate_genome_star_index,pass1,D
generate_genome_star_index,star_genome,S
generate_genome_star_index,tastq_to_bam_hisat,D
generate_genome_star_index,samtools_bam,D
generate_genome_star_index,hisat2,D
generate_genome_star_index,sort_bams,D
generate_genome_star_index,compare_reference_stringtie,D
generate_genome_star_index,map,D
generate_genome_star_index,bamindex,D
generate_genome_star_index,startpe,D
generate_genome_star_index,expressbam,D
generate_genome_star_index,sortedbam_to_rmdup,D
generate_genome_star_index,sortbam,D
generate_genome_star_index,fetch_unique_stringtie,D
generate_genome_star_index,starindex,D
generate_genome_star_index,starse,D
generate_genome_star_index,sort_index_bams,D
generate_genome_star_index,rna_seqc,D
generate_genome_star_index,pass2,D
generate_genome_star_index,mark_dups,D
generate_genome_star_index,samtools_flagstat,D
generate_genome_star_index,picard_rna_seq,D
generate_genome_star_index,samplereads,D
generate_genome_star_index,cutadapt 2,D
generate_genome_star_index,trim_galore_pe,D
generate_genome_star_index,trimgalorepe,D
generate_genome_star_index,cutadapt,D
generate_genome_star_index,trimgalorese,D
generate_genome_star_index,fastp_trimming_se,D
generate_genome_star_index,fastp_trimming_pe,D
generate_genome_star_index,merge_trimmed_pe,D
generate_genome_star_index,merge_trimmed_se,D
generate_genome_star_index,drimseq,D
generate_genome_star_index,edger,D
generate_genome_star_index,rsem_norm,D
generate_genome_star_index,feature_counts,D
generate_genome_star_index,salmon_quant_se,D
generate_genome_star_index,salmonse,D
generate_genome_star_index,salmon_quant_pe,D
generate_genome_star_index,salmonpe,D
generate_genome_star_index,salmon_index_extended,D
generate_genome_star_index,counts_matrix,D
generate_genome_star_index,samlon_quant,D
generate_genome_star_index,featurecounts 2,D
generate_genome_star_index,salmon_quant,D
generate_genome_star_index,salmon_index,D
generate_genome_star_index,featurecounts,D
generate_genome_star_index,sortedbam_to_counts,D
generate_genome_star_index,tximeta,D
generate_genome_star_index,kallistoquant,D
generate_genome_star_index,bigwig,D
generate_genome_star_index,fastqscreen,D
generate_genome_star_index,multiqc 2,D
generate_genome_star_index,fastqc 5,D
generate_genome_star_index,fastqc 4,D
generate_genome_star_index,multiqc 3,D
generate_genome_star_index,fastqc,D
generate_genome_star_index,run_multiqc,D
generate_genome_star_index,multiqc,D
generate_genome_star_index,fastqctrimmed,D
generate_genome_star_index,fastqc_trimmed,D
generate_genome_star_index,trim_fasq_fastqc,D
generate_genome_star_index,fastqc 3,D
generate_genome_star_index,fastqctrimmed 2,D
generate_genome_star_index,fastqc 2,D
generate_genome_star_index,fastqcrim,D
generate_genome_star_index,fastqc 6,D
run_star_se,pass1,SS
run_star_se,star_genome,D
run_star_se,tastq_to_bam_hisat,SS
run_star_se,samtools_bam,D
run_star_se,hisat2,D
run_star_se,sort_bams,D
run_star_se,compare_reference_stringtie,D
run_star_se,map,SS
run_star_se,bamindex,D
run_star_se,startpe,S
run_star_se,expressbam,D
run_star_se,sortedbam_to_rmdup,D
run_star_se,sortbam,D
run_star_se,fetch_unique_stringtie,D
run_star_se,starindex,D
run_star_se,starse,S
run_star_se,sort_index_bams,D
run_star_se,rna_seqc,D
run_star_se,pass2,SS
run_star_se,mark_dups,D
run_star_se,samtools_flagstat,D
run_star_se,picard_rna_seq,D
run_star_se,samplereads,D
run_star_se,cutadapt 2,D
run_star_se,trim_galore_pe,D
run_star_se,trimgalorepe,D
run_star_se,cutadapt,D
run_star_se,trimgalorese,D
